species_or_node,posterior_mean
Sp1.Node1096,0.621754094637814
Sp1.Erica ciliaris,0.62089060648594
Sp1.Potamogeton rutilus,0.619205053241827
Sp1.Erica vagans,0.616646396154937
Sp1.Potamogeton epihydrus,0.616213379416901
Sp1.Node1063,0.58831922379186
Sp1.Node640,0.587600843842561
Sp1.Linaria repens,0.587541455958423
Sp1.Linaria vulgaris,0.586135596130594
Sp1.Node750,0.584253760767504
Sp1.Node1048,0.58283214674823
Sp1.Node1049,0.581944132817203
Sp1.Neottia nidus-avis,0.579209561534328
Sp1.Spiranthes romanzoffiana,0.575783680796693
Sp1.Spiranthes spiralis,0.573166576553124
Sp1.Node66,0.57077805702573
Sp1.Node572,0.565984677388644
Sp1.Node639,0.54969124269015
Sp1.Node638,0.529271068420553
Sp1.Verbascum nigrum,0.520786905701977
Sp1.Verbascum thapsus,0.515061598503638
Sp1.Node544,0.508689692178083
Sp1.Node1081,0.498952270366044
Sp1.Zostera noltii,0.494557406003008
Sp1.Zostera marina,0.491668878694683
Sp1.Node1102,0.485722989581903
Sp1.Typha latifolia,0.472344925805626
Sp1.Typha angustifolia,0.472019947305014
Sp1.Node1033,0.471863973208315
Sp1.Node58,0.470756329384863
Sp1.Quercus robur,0.457931531069978
Sp1.Node186,0.457368329675673
Sp1.Quercus petraea,0.456801744353821
Sp1.Node558,0.44678095594551
Sp1.Node557,0.446671658451185
Sp1.Node729,0.4465510526061
Sp1.Neottia cordata,0.438250480310268
Sp1.Node1070,0.434005210279252
Sp1.Neottia ovata,0.430451711633031
Sp1.Erica cinerea,0.429855758077349
Sp1.Node1064,0.427630761420603
Sp1.Node57,0.41513824472499
Sp1.Node56,0.414392282947513
Sp1.Node79,0.393207399096193
Sp1.Helianthemum oelandicum,0.380295291576829
Sp1.Veronica serpyllifolia,0.379035099511312
Sp1.Node559,0.375270908589861
Sp1.Lythrum portula,0.37352646342286
Sp1.Node80,0.366812810150994
Sp1.Veronica beccabunga,0.365698716513138
Sp1.Node63,0.3648257010824
Sp1.Node1080,0.360422325396718
Sp1.Node560,0.356619941428298
Sp1.Viola hirta,0.35651094626862
Sp1.Lythrum salicaria,0.354746261320069
Sp1.Papaver rhoeas,0.354285916640598
Sp1.Viola odorata,0.353245128597112
Sp1.Lythrum hyssopifolia,0.352474010777132
Sp1.Betula pubescens,0.346907085638172
Sp1.Node184,0.345520002513075
Sp1.Papaver dubium,0.345043297871537
Sp1.Node185,0.344256491249059
Sp1.Betula pendula,0.342919844982453
Sp1.Betula nana,0.342254740526212
Sp1.Agrimonia procera,0.338192762773833
Sp1.Node105,0.337830328879671
Sp1.Agrimonia eupatoria,0.337719388341723
Sp1.Helianthemum nummularium,0.330964529015827
Sp1.Centaurium pulchellum,0.325863114261878
Sp1.Salix viminalis,0.325402198609377
Sp1.Salix myrsinifolia,0.324618042466224
Sp1.Node293,0.324326704373916
Sp1.Salix repens,0.324010099501795
Sp1.Salix aurita,0.323648347798852
Sp1.Salix myrsinites,0.322666321063877
Sp1.Salix arbuscula,0.322183475551473
