Stace_4_Species,Plantlist,taxon name,Ploidy,Chromosome_number,Base,AnnPer,ddb id,qualifier,authority,vernacular,accepted name,accepted authority,accepted entity id,verification,taxonContext,canonical,brcConcept,tvk,rank,hybrid,bsbiStatus,Atlas 2000 status,genus,family,childtaxa,childtaxaauth,GB status,IE status,CI status,url,
Castanea sativa,Castanea sativa,Castanea sativa,,,,P,2cd4p9h.yx,,Mill.,Sweet Chestnut,,,,unchecked,b,Castanea sativa,Vas_432,NHMSYS0000456969,species,,A,Ar,Castanea,Fagaceae,Castanea sativa 'Albomarginata';Castanea sativa 'Aspleniifolia';Castanea sativa 'Holtii',Castanea sativa 'Albomarginata';Castanea sativa 'Aspleniifolia';Castanea sativa 'Holtii',archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.yx&class=TaxonInstance,
Catabrosa aquatica,Catabrosa aquatica,Catabrosa aquatica,,,,P,2cd4p9h.vaq,,(L.) P.Beauv.,Whorl-grass,,,,confirmed,b,Catabrosa aquatica,Vas_433,NHMSYS0000456975,species,,N,N,Catabrosa,Poaceae,Catabrosa aquatica subsp. aquatica;Catabrosa aquatica var. aquatica;Catabrosa aquatica var. uniflora,Catabrosa aquatica subsp. aquatica (L.) P.Beauv.;Catabrosa aquatica var. aquatica (L.) P.Beauv.;Catabrosa aquatica var. uniflora Gray,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.vaq&class=TaxonInstance,
Catapodium marinum,Catapodium marinum,Catapodium marinum,4,28,7,A,2cd4p9h.ygb,,(L.) C.E.Hubb.,Sea Fern-grass,,,,confirmed,b,Catapodium marinum,Vas_434,NHMSYS0000456980,species,,N,N,Catapodium,Poaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.ygb&class=TaxonInstance,
Catapodium rigidum,Catapodium rigidum,Catapodium rigidum,2,14,7,A,2cd4p9h.xfy,,(L.) C.E.Hubb.,Fern-grass,,,,confirmed,b,Catapodium rigidum,Vas_435,NHMSYS0000456981,species,,N,N,Catapodium,Poaceae,Catapodium rigidum subsp. majus;Catapodium rigidum subsp. hemipoa;Catapodium rigidum subsp. rigidum,Catapodium rigidum subsp. majus (C.Presl) F.H.Perring & P.D.Sell;Catapodium rigidum subsp. hemipoa (Delile ex Spreng.) Stace;Catapodium rigidum subsp. rigidum (L.) C.E.Hubb.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.xfy&class=TaxonInstance,
Caucalis platycarpos,Caucalis platycarpos,Caucalis platycarpos,,,,A,2cd4p9h.4tv,,L.,Small Bur-parsley,,,,unchecked,b,Caucalis platycarpos,Vas_436,NBNSYS0000003649,species,,A,,Caucalis,Apiaceae,,,archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.4tv&class=TaxonInstance,
Centaurea calcitrapa,Centaurea calcitrapa,Centaurea calcitrapa,2,20,10,B,2cd4p9h.bq2,,L.,Red Star-thistle,,,,unchecked,b,Centaurea calcitrapa,Vas_439,NBNSYS0000004510,species,,A,Ar,Centaurea,Asteraceae,,,archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.bq2&class=TaxonInstance,
Centaurea cyanus,Cyanus segetum,Centaurea cyanus,,,,A,2cd4p9h.8g0,,L.,Cornflower,,,,unchecked,b,Centaurea cyanus,Vas_440,NBNSYS0000004503,species,,A,Ar,Centaurea,Asteraceae,Centaurea cyanus 'Black Boy';Centaurea cyanus 'Snowman',Centaurea cyanus 'Black Boy';Centaurea cyanus 'Snowman',archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.8g0&class=TaxonInstance,
Centaurea nigra,Centaurea nigra,Centaurea nigra,4,44,11,P,2cd4p9h.2d2nvb,s.l.,,,,,,unchecked,b,Centaurea nigra,,,species,,,,Centaurea,Asteraceae,Centaurea debeauxii subsp. nemoralis;Centaurea nigra s.s.,Centaurea debeauxii subsp. nemoralis (Jord.) Dostál;Centaurea nigra L. s.s.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.2d2nvb&class=TaxonInstance,
Centaurea scabiosa,Centaurea scabiosa,Centaurea scabiosa,2,20,10,P,2cd4p9h.4ty,,L.,Greater Knapweed,,,,unchecked,b,Centaurea scabiosa,Vas_446,NBNSYS0000004501,species,,N,N,Centaurea,Asteraceae,Centaurea scabiosa var. nana;Centaurea scabiosa var. succisifolia;Centaurea scabiosa var. scabiosa,Centaurea scabiosa var. nana P.D.Sell;Centaurea scabiosa var. succisifolia E.S.Marshall ex C.E.Britton;Centaurea scabiosa var. scabiosa L.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.4ty&class=TaxonInstance,
Centaurium erythraea,Centaurium erythraea,Centaurium erythraea,4,40,10,B,2cd4p9h.q88,,Rafn,Common Centaury,,,,unchecked,b,Centaurium erythraea,Vas_5486,NHMSYS0000457033,species,,N,N,Centaurium,Gentianaceae,Centaurium erythraea var. latifolium;Centaurium erythraea var. erythraea;Centaurium erythraea var. capitatum;Centaurium erythraea var. fasciculare;Centaurium erythraea var. sublitorale;Centaurium erythraea var. subcapitatum,Centaurium erythraea var. latifolium;Centaurium erythraea var. erythraea Rafn;Centaurium erythraea var. capitatum (Willd. ex Cham.) Melderis;Centaurium erythraea var. fasciculare (Duby) Ubsdell;Centaurium erythraea var. sublitorale (Wheldon & C.E.Salmon) Ubsdell;Centaurium erythraea var. subcapitatum (Corb.) Ubsdell,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.q88&class=TaxonInstance,
