Stace_4_Species,Plantlist,taxon name,Ploidy,Chromosome_number,Base,AnnPer,ddb id,qualifier,authority,vernacular,accepted name,accepted authority,accepted entity id,verification,taxonContext,canonical,brcConcept,tvk,rank,hybrid,bsbiStatus,Atlas 2000 status,genus,family,childtaxa,childtaxaauth,GB status,IE status,CI status,url,
Carex rupestris,Carex rupestris,Carex rupestris,,,,P,2cd4p9h.y3,,Bellardi ex All.,Rock Sedge,,,,confirmed,b,Carex rupestris,Vas_415,NHMSYS0000456892,species,,N,N,Carex,Cyperaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.y3&class=TaxonInstance,
Carex salina,Carex salina,Carex salina,,,,P,2cd4p9h.r00,,Wahlenb.,Saltmarsh Sedge,,,,confirmed,b,Carex salina,Vas_9681,NHMSYS0020110545,species,,N,N,Carex,Cyperaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.r00&class=TaxonInstance,
Carex saxatilis,Carex saxatilis,Carex saxatilis,,,,P,2cd4p9h.xf0,,L.,Russet Sedge,,,,confirmed,b,Carex saxatilis,Vas_417,NBNSYS0000002429,species,,N,N,Carex,Cyperaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.xf0&class=TaxonInstance,
Carex spicata,Carex spicata,Carex spicata,,,,P,2cd4p9h.f3f,,Huds.,Spiked Sedge,,,,confirmed,b,Carex spicata,Vas_357,NHMSYS0000456896,species,,N,N,Carex,Cyperaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.f3f&class=TaxonInstance,
Carex strigosa,Carex strigosa,Carex strigosa,2,66,33,P,2cd4p9h.y6,,Huds.,Thin-spiked Wood-sedge,,,,confirmed,b,Carex strigosa,Vas_420,NHMSYS0000456898,species,,N,N,Carex,Cyperaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.y6&class=TaxonInstance,
Carex sylvatica,Carex sylvatica,Carex sylvatica,,,,P,2cd4p9h.4ss,,Huds.,Wood-sedge,,,,confirmed,b,Carex sylvatica,Vas_421,NHMSYS0000456899,species,,N,N,Carex,Cyperaceae,Carex sylvatica subsp. sylvatica,Carex sylvatica subsp. sylvatica Huds.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.4ss&class=TaxonInstance,
Carex trinervis,Carex trinervis,Carex trinervis,,,,P,2cd4p9h.ksx,,Degl.,Three-nerved Sedge,,,,confirmed,b,Carex trinervis,Vas_422,NBNSYS0000002461,species,,N,N,Carex,Cyperaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.ksx&class=TaxonInstance,
Carex vaginata,Carex vaginata,Carex vaginata,,,,P,2cd4p9h.y9,,Tausch,Sheathed Sedge,,,,confirmed,b,Carex vaginata,Vas_423,NBNSYS0000002437,species,,N,N,Carex,Cyperaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.y9&class=TaxonInstance,
Carex vesicaria,Carex vesicaria,Carex vesicaria,,,,P,2cd4p9h.xfc,,L.,Bladder-sedge,,,,unchecked,b,Carex vesicaria,Vas_424,NBNSYS0000002427,species,,N,N,Carex,Cyperaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.xfc&class=TaxonInstance,
Carex vulpina,Carex vulpina,Carex vulpina,,,,P,2cd4p9h.4t0,,L.,True Fox-sedge,,,,confirmed,b,Carex vulpina,Vas_425,NBNSYS0000002468,species,,N,N,Carex,Cyperaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.4t0&class=TaxonInstance,
Carlina vulgaris,Carlina vulgaris,Carlina vulgaris,2,20,10,B,2cd4p9h.4t6,,L.,Carline Thistle,,,,unchecked,b,Carlina vulgaris,Vas_427,NBNSYS0000004478,species,,N,N,Carlina,Asteraceae,Carlina vulgaris subsp. vulgaris,Carlina vulgaris subsp. vulgaris L.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.4t6&class=TaxonInstance,
Carpinus betulus,Carpinus betulus,Carpinus betulus,,,,P,2cd4p9h.yf,,L.,Hornbeam,,,,confirmed,b,Carpinus betulus,Vas_428,NBNSYS0000003838,species,,N,N,Carpinus,Betulaceae,Carpinus betulus 'Fastigiata';Carpinus betulus 'Fran Fontaine';Carpinus betulus 'Columnaris';Carpinus betulus 'Pendula';Carpinus betulus 'Lucas',Carpinus betulus 'Fastigiata';Carpinus betulus 'Fran Fontaine';Carpinus betulus 'Columnaris';Carpinus betulus 'Pendula';Carpinus betulus 'Lucas',native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.yf&class=TaxonInstance,
Carum carvi,Carum carvi,Carum carvi,2,20,10,B,2cd4p9h.8fs,,L.,Caraway,,,,unchecked,b,Carum carvi,Vas_430,NBNSYS0000003679,species,,A,Ar,Carum,Apiaceae,,,archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.8fs&class=TaxonInstance,
Trocdaris verticillata,Trocdaris verticillatum,Carum verticillatum,,,,P,2cd4p9h.4tc,,(L.) W.D.J.Koch,Whorled Caraway,,,,unchecked,b,Carum verticillatum,Vas_431,NHMSYS0000456960,species,,N,N,Carum,Apiaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.4tc&class=TaxonInstance,
